year,Team_A,Team_B,poss_A,rtg_A,poss_B,rtg_B,winner,formatting_a,formatting_b,,
2012,Kansas State,Southern Mississippi,67,21.02,64.5,11.92,1,1,1,,
2012,Vanderbilt,Harvard,65.5,23.45,60.9,13.15,1,1,1,,
2012,Wisconsin,Montana,58.7,30.42,66.1,6.55,1,1,1,,
2012,Cincinnati,Texas,64.1,18.98,66.7,20.4,1,1,1,,
2012,Florida State,St. Bonaventure,67.3,20.65,65,12.45,1,1,1,,
2012,Gonzaga,West Virginia,66.5,20.56,64.8,16.89,1,1,1,,
2012,Ohio State,Loyola (MD),66.9,35.13,65.3,1.33,1,1,1,,
2012,North Carolina,Vermont,72.8,29.1,63.2,2.09,1,1,1,,
2012,Creighton,Alabama,67.3,25.58,62.9,20.57,1,1,1,,
2012,Temple,South Florida,67.6,15.38,59.7,14.21,0,1,1,,
2012,Michigan,Ohio,61.2,20.26,66.8,10.4,0,1,1,,
2012,San Diego State,NC State,66.6,13.49,67.7,17.81,0,1,1,,
2012,Georgetown,Belmont,63.3,25.48,68.6,17.51,1,1,1,,
2012,Saint Mary's (CA),Purdue,64.8,16.78,64.6,20.79,0,1,1,,
2012,Kansas,Detroit Mercy,67.3,31.81,67.1,3.76,1,1,1,,
2012,Kentucky,Iowa State,66.4,36.55,67.5,19.63,1,1,1,,
2012,Virginia Commonwealth,Indiana,65.2,13.46,66.9,27.24,0,1,1,,
2012,Colorado,Baylor,66,11.46,67.1,24.19,0,1,1,,
2012,Xavier,Lehigh,67.5,14.13,68.1,6.29,1,1,1,,
2012,Michigan State,Saint Louis,65.1,31.66,63.2,23.8,1,1,1,,
2012,New Mexico,Louisville,66.3,22.66,67,23.77,0,1,1,,
2012,Murray State,Marquette,66.1,13.45,70.7,24.13,0,1,1,,
2012,Florida,Norfolk State,65.1,26.58,68.4,-5.17,1,1,1,,
2012,Syracuse,Kansas State,65.2,30.93,67,21.02,1,1,1,,
2012,Vanderbilt,Wisconsin,65.5,23.45,58.7,30.42,0,1,1,,
2012,Cincinnati,Florida State,64.1,18.98,67.3,20.65,1,1,1,,
2012,Gonzaga,Ohio State,66.5,20.56,66.9,35.13,0,1,1,,
2012,North Carolina,Creighton,72.8,29.1,67.3,25.58,1,1,1,,
2012,South Florida,Ohio,59.7,14.21,66.8,10.4,0,1,1,,
2012,NC State,Georgetown,67.7,17.81,63.3,25.48,1,1,1,,
2012,Purdue,Kansas,64.6,20.79,67.3,31.81,0,1,1,,
2012,Kentucky,Indiana,66.4,36.55,66.9,27.24,1,1,1,,
2012,Baylor,Xavier,67.1,24.19,67.5,14.13,1,1,1,,
2012,Michigan State,Louisville,65.1,31.66,67,23.77,0,1,1,,
2012,Marquette,Florida,70.7,24.13,65.1,26.58,0,1,1,,
2012,Syracuse,Wisconsin,65.2,30.93,58.7,30.42,1,1,1,,
2012,Cincinnati,Ohio State,64.1,18.98,66.9,35.13,0,1,1,,
2012,North Carolina,Ohio,72.8,29.1,66.8,10.4,1,1,1,,
2012,NC State,Kansas,67.7,17.81,67.3,31.81,0,1,1,,
2012,Kentucky,Baylor,66.4,36.55,67.1,24.19,1,1,1,,
2012,Louisville,Florida,67,23.77,65.1,26.58,1,1,1,,
2012,Syracuse,Ohio State,65.2,30.93,66.9,35.13,0,1,1,,
2012,North Carolina,Kansas,72.8,29.1,67.3,31.81,0,1,1,,
2012,Kentucky,Louisville,66.4,36.55,67,23.77,1,1,1,,
2012,Ohio State,Kansas,66.9,35.13,67.3,31.81,0,1,1,,
2012,Kentucky,Kansas,66.4,36.55,67.3,31.81,1,1,1,,
2013,Louisville,North Carolina A&T,66.4,37.52,67.1,-8.94,1,1,1,,
2013,Colorado State,Missouri,64.5,21.66,68.2,23.29,1,1,1,,
2013,Oklahoma State,Oregon,67.3,23.45,68.8,20.88,0,1,1,,
2013,Saint Louis,New Mexico State,64.5,22.86,65.2,8.72,1,1,1,,
2013,Memphis,Saint Mary's (CA),69.5,18.31,64.5,22.53,1,1,1,,
2013,Michigan State,Valparaiso,64.7,28.61,65.1,11.91,1,1,1,,
2013,Creighton,Cincinnati,65,25.46,64.9,20.55,1,1,1,,
2013,Duke,Albany (NY),68.2,32.5,62.8,-0.26,1,1,1,,
2013,Gonzaga,Southern,65.3,31.26,65.4,-2.41,1,1,1,,
2013,Pittsburgh,Wichita State,60.4,30.93,64.9,22.66,0,1,1,,
2013,Wisconsin,Mississippi,61.4,29.18,70.5,20.61,0,1,1,,
2013,Kansas State,La Salle,63.6,20.87,66.5,15.76,0,1,1,,
2013,Arizona,Belmont,66.8,26.17,68.1,16.06,1,1,1,,
2013,New Mexico,Harvard,64.7,20.85,63.9,6.89,0,1,1,,
2013,Notre Dame,Iowa State,62,21.53,70,21.64,0,1,1,,
2013,Ohio State,Iona,64.3,30.72,70.5,6.86,1,1,1,,
2013,Kansas,Western Kentucky,67.8,30.81,67,0.01,1,1,1,,
2013,North Carolina,Villanova,71.6,20.96,67.4,16.69,1,1,1,,
2013,Virginia Commonwealth,Akron,68.6,24.6,66.4,12.53,1,1,1,,
2013,Michigan,South Dakota State,64.1,33.11,64,5.42,1,1,1,,
2013,UCLA,Minnesota,69.6,19.1,63.5,25.56,0,1,1,,
2013,Florida,Northwestern State,62.9,37.67,74.4,1.05,1,1,1,,
2013,San Diego State,Oklahoma,66.6,20.17,66.8,17.01,1,1,1,,
2013,Georgetown,Florida Gulf Coast,62.4,24.86,69.5,5.13,0,1,1,,
2013,Indiana,James Madison,67.1,36.69,64.1,-1.3,1,1,1,,
2013,NC State,Temple,68.6,21.34,67.6,14.81,0,1,1,,
2013,Nevada-Las Vegas,California,68.9,19.11,66.5,16.56,0,1,1,,
2013,Syracuse,Montana,65.2,29.86,63.8,0.01,1,1,1,,
2013,Butler,Bucknell,64.9,17.52,62.6,11.87,1,1,1,,
2013,Marquette,Davidson,63.4,21.77,64.8,11.88,1,1,1,,
