year,Team_A,Team_B,poss_A,rtg_A,poss_B,rtg_B,winner,formatting_a,formatting_b,,
2016,Indiana,Kentucky,69.1,29.39,68.1,30.32,1,1,1,,
2016,Notre Dame,Stephen F. Austin,65,21.47,69.6,15.1,1,1,1,,
2016,Wisconsin,Xavier,64.1,20.99,72.4,27.18,1,1,1,,
2016,Virginia,Butler,61.5,34.97,69.8,23.11,1,1,1,,
2016,Little Rock,Iowa State,64.5,12.85,71.5,24.83,0,1,1,,
2016,Gonzaga,Utah,68.1,25.33,67.7,22.55,1,1,1,,
2016,Syracuse,Middle Tennessee,64.9,22.94,69.1,5.14,1,1,1,,
2016,Kansas,Maryland,69.7,34.95,67.3,25.49,1,1,1,,
2016,Miami (FL),Villanova,66.2,27.73,67.3,36.33,0,1,1,,
2016,Oregon,Duke,69.5,26.59,68.4,28.27,1,1,1,,
2016,Texas A&M,Oklahoma,68.6,26.87,71,28.39,0,1,1,,
2016,North Carolina,Indiana,70.2,34.39,69.1,29.39,1,1,1,,
2016,Notre Dame,Wisconsin,65,21.47,64.1,20.99,1,1,1,,
2016,Virginia,Iowa State,61.5,34.97,71.5,24.83,1,1,1,,
2016,Gonzaga,Syracuse,68.1,25.33,64.9,22.94,0,1,1,,
2016,Kansas,Villanova,69.7,34.95,67.3,36.33,0,1,1,,
2016,Oregon,Oklahoma,69.5,26.59,71,28.39,0,1,1,,
2016,North Carolina,Notre Dame,70.2,34.39,65,21.47,1,1,1,,
2016,Virginia,Syracuse,61.5,34.97,64.9,22.94,0,1,1,,
2016,Villanova,Oklahoma,67.3,36.33,71,28.39,1,1,1,,
2016,North Carolina,Syracuse,70.2,34.39,64.9,22.94,1,1,1,,
2016,Villanova,North Carolina,67.3,36.33,70.2,34.39,1,1,1,,
2017,Villanova,Mount St. Mary's,65.6,36.05,68.4,-4.2,1,1,1,,
2017,Wisconsin,Virginia Tech,64.5,29.8,69.8,18.91,1,1,1,,
2017,Virginia,UNC Wilmington,60.3,32.38,71.5,12.88,1,1,1,,
2017,Florida,East Tennessee State,70.1,32.51,71.4,11.19,1,1,1,,
2017,Southern Methodist,Southern California,63.7,30.02,70.1,17.65,0,1,1,,
2017,Baylor,New Mexico State,65.3,29.86,70,8.48,1,1,1,,
2017,South Carolina,Marquette,69.9,26.03,71.1,22.86,1,1,1,,
2017,Duke,Troy,69.9,31.53,70.1,0.79,1,1,1,,
2017,Gonzaga,South Dakota State,70.9,36.71,69.2,-1.82,1,1,1,,
2017,Northwestern,Vanderbilt,66.5,21.17,67.1,21.11,1,1,1,,
2017,Notre Dame,Princeton,67.7,26.68,65.2,12.89,1,1,1,,
2017,West Virginia,Bucknell,71.4,34.12,70.7,9.21,1,1,1,,
2017,Maryland,Xavier,68.1,19.65,68.2,22.59,0,1,1,,
2017,Florida State,Florida Gulf Coast,72.6,27.18,69.3,5.19,1,1,1,,
2017,Saint Mary's (CA),Virginia Commonwealth,61.3,28.15,69,17.89,1,1,1,,
2017,Arizona,North Dakota,67.3,27.29,72.9,-1.13,1,1,1,,
2017,Kansas,UC Davis,71.4,34.02,70.2,-5.82,1,1,1,,
2017,Miami (FL),Michigan State,64.7,21.7,68.2,20.99,0,1,1,,
2017,Iowa State,Nevada,70.6,29.09,70.9,15.81,1,1,1,,
2017,Purdue,Vermont,70,29.63,65.4,12.34,1,1,1,,
2017,Creighton,Rhode Island,72.9,25.08,67.4,19.94,0,1,1,,
2017,Oregon,Iona,68.8,30.2,72.3,3.35,1,1,1,,
2017,Michigan,Oklahoma State,63.8,29.14,72.7,27.4,1,1,1,,
2017,Louisville,Jacksonville State,68.5,32.93,65.3,-2.17,1,1,1,,
2017,North Carolina,Texas Southern,72.6,35.41,69.7,-7.19,1,1,1,,
2017,Arkansas,Seton Hall,71.7,20.43,69,18.22,1,1,1,,
2017,Minnesota,Middle Tennessee,70.3,21.42,66.4,16.13,0,1,1,,
2017,Butler,Winthrop,67.3,26.71,71.5,3.36,1,1,1,,
2017,Cincinnati,Kansas State,65.1,27.97,67.5,22.49,1,1,1,,
2017,UCLA,Kent State,74.2,28.85,70.7,2.51,1,1,1,,
2017,Dayton,Wichita State,69.4,19.78,69.4,30.85,0,1,1,,
2017,Kentucky,Northern Kentucky,74.3,33.41,70.8,1.33,1,1,1,,
2017,Villanova,Wisconsin,65.6,36.05,64.5,29.8,0,1,1,,
2017,Virginia,Florida,60.3,32.38,70.1,32.51,0,1,1,,
2017,Southern California,Baylor,70.1,17.65,65.3,29.86,0,1,1,,
2017,South Carolina,Duke,69.9,26.03,69.9,31.53,1,1,1,,
2017,Gonzaga,Northwestern,70.9,36.71,66.5,21.17,1,1,1,,
2017,Notre Dame,West Virginia,67.7,26.68,71.4,34.12,0,1,1,,
2017,Xavier,Florida State,68.2,22.59,72.6,27.18,1,1,1,,
2017,Saint Mary's (CA),Arizona,61.3,28.15,67.3,27.29,0,1,1,,
2017,Kansas,Michigan State,71.4,34.02,68.2,20.99,1,1,1,,
2017,Iowa State,Purdue,70.6,29.09,70,29.63,0,1,1,,
2017,Rhode Island,Oregon,67.4,19.94,68.8,30.2,0,1,1,,
2017,Michigan,Louisville,63.8,29.14,68.5,32.93,1,1,1,,
2017,North Carolina,Arkansas,72.6,35.41,71.7,20.43,1,1,1,,
2017,Middle Tennessee,Butler,66.4,16.13,67.3,26.71,0,1,1,,
2017,Cincinnati,UCLA,65.1,27.97,74.2,28.85,0,1,1,,
2017,Wichita State,Kentucky,69.4,30.85,74.3,33.41,0,1,1,,
2017,Wisconsin,Florida,64.5,29.8,70.1,32.51,0,1,1,,
2017,Baylor,South Carolina,65.3,29.86,69.9,26.03,0,1,1,,
2017,Gonzaga,West Virginia,70.9,36.71,71.4,34.12,1,1,1,,
2017,Xavier,Arizona,68.2,22.59,67.3,27.29,1,1,1,,
2017,Kansas,Purdue,71.4,34.02,70,29.63,1,1,1,,
2017,Oregon,Michigan,68.8,30.2,63.8,29.14,1,1,1,,
2017,North Carolina,Butler,72.6,35.41,67.3,26.71,1,1,1,,
2017,UCLA,Kentucky,74.2,28.85,74.3,33.41,0,1,1,,
2017,Florida,South Carolina,70.1,32.51,69.9,26.03,0,1,1,,
2017,Gonzaga,Xavier,70.9,36.71,68.2,22.59,1,1,1,,
2017,Kansas,Oregon,71.4,34.02,68.8,30.2,0,1,1,,
2017,North Carolina,Kentucky,72.6,35.41,74.3,33.41,1,1,1,,
2017,South Carolina,Gonzaga,69.9,26.03,70.9,36.71,0,1,1,,
2017,Oregon,North Carolina,68.8,30.2,72.6,35.41,0,1,1,,
2017,Gonzaga,North Carolina,70.9,36.71,72.6,35.41,0,1,1,,
2018,Virginia,Maryland-Baltimore County,60.6,34.98,69.2,-1.5,0,1,1,,
2018,Creighton,Kansas State,72.8,23.11,66.6,19.12,0,1,1,,
2018,Kentucky,Davidson,69.8,25.03,65.3,18,1,1,1,,
2018,Arizona,Buffalo,68.6,23.04,73.9,11.89,0,1,1,,
2018,Miami (FL),Loyola (IL),67.8,19.17,65.9,16.75,0,1,1,,
2018,Tennessee,Wright State,67.1,27.13,69.9,2.17,1,1,1,,
2018,Nevada,Texas,70.5,21.14,66.9,20.26,1,1,1,,
2018,Cincinnati,Georgia State,66.1,30.51,67.9,6.07,1,1,1,,
2018,Xavier,Texas Southern,72.3,26.94,72.7,-9.42,1,1,1,,
2018,Missouri,Florida State,67.3,20.23,72.2,22.35,0,1,1,,
2018,Ohio State,South Dakota State,67.9,26.41,72.3,10.33,1,1,1,,
2018,Gonzaga,UNC Greensboro,69.7,26.88,66.9,8.42,1,1,1,,
2018,Houston,San Diego State,68.5,23.72,70.4,17.83,1,1,1,,
2018,Michigan,Montana,65.7,28.19,69.9,9.58,1,1,1,,
2018,Texas A&M,Providence,70.9,21.87,69.5,16.35,1,1,1,,
2018,North Carolina,Lipscomb,71.7,28.53,77,-1.63,1,1,1,,
2018,Villanova,Radford,70.1,38.13,63.4,-2.26,1,1,1,,
2018,Virginia Tech,Alabama,69.9,20.75,70.2,17.8,0,1,1,,
2018,West Virginia,Murray State,70.5,28.22,68.1,11.69,1,1,1,,
2018,Wichita State,Marshall,70,23.65,76.3,6.65,0,1,1,,
2018,Florida,St. Bonaventure,68.4,24.11,69.4,13.7,1,1,1,,
2018,Texas Tech,Stephen F. Austin,68.3,28.06,73.8,4.31,1,1,1,,
2018,Arkansas,Butler,71.3,20.65,69.6,24.46,0,1,1,,
2018,Purdue,Cal State Fullerton,68.1,33.73,69.9,-0.27,1,1,1,,
2018,Kansas,Pennsylvania,70.2,30.43,70.2,4.11,1,1,1,,
2018,Seton Hall,NC State,71.1,22.61,72.1,18.45,1,1,1,,
2018,Clemson,New Mexico State,67.5,25.4,70.1,13.88,1,1,1,,
2018,Auburn,College of Charleston,73.4,22.61,65.9,4.44,1,1,1,,
2018,TCU,Syracuse,70,23.49,64.2,19.5,0,1,1,,
2018,Michigan State,Bucknell,68.1,32.8,72.4,6.92,1,1,1,,
2018,Rhode Island,Oklahoma,69.2,17.66,76.5,19.26,1,1,1,,
2018,Duke,Iona,70.6,35.34,71.5,2.13,1,1,1,,
2018,Maryland-Baltimore County,Kansas State,69.2,-1.5,66.6,19.12,0,1,1,,
2018,Kentucky,Buffalo,69.8,25.03,73.9,11.89,1,1,1,,
2018,Loyola (IL),Tennessee,65.9,16.75,67.1,27.13,1,1,1,,
2018,Nevada,Cincinnati,70.5,21.14,66.1,30.51,1,1,1,,
2018,Xavier,Florida State,72.3,26.94,72.2,22.35,0,1,1,,
2018,Ohio State,Gonzaga,67.9,26.41,69.7,26.88,0,1,1,,
2018,Houston,Michigan,68.5,23.72,65.7,28.19,0,1,1,,
2018,Texas A&M,North Carolina,70.9,21.87,71.7,28.53,1,1,1,,
2018,Villanova,Alabama,70.1,38.13,70.2,17.8,1,1,1,,
2018,West Virginia,Marshall,70.5,28.22,76.3,6.65,1,1,1,,
2018,Florida,Texas Tech,68.4,24.11,68.3,28.06,0,1,1,,
2018,Butler,Purdue,69.6,24.46,68.1,33.73,0,1,1,,
2018,Kansas,Seton Hall,70.2,30.43,71.1,22.61,1,1,1,,
2018,Clemson,Auburn,67.5,25.4,73.4,22.61,1,1,1,,
2018,Syracuse,Michigan State,64.2,19.5,68.1,32.8,1,1,1,,
2018,Rhode Island,Duke,69.2,17.66,70.6,35.34,0,1,1,,
2018,Kansas State,Kentucky,66.6,19.12,69.8,25.03,1,1,1,,
2018,Loyola (IL),Nevada,65.9,16.75,70.5,21.14,1,1,1,,
2018,Florida State,Gonzaga,72.2,22.35,69.7,26.88,1,1,1,,
2018,Michigan,Texas A&M,65.7,28.19,70.9,21.87,1,1,1,,
2018,Villanova,West Virginia,70.1,38.13,70.5,28.22,1,1,1,,
2018,Texas Tech,Purdue,68.3,28.06,68.1,33.73,1,1,1,,
2018,Kansas,Clemson,70.2,30.43,67.5,25.4,1,1,1,,
2018,Syracuse,Duke,64.2,19.5,70.6,35.34,0,1,1,,
2018,Kansas State,Loyola (IL),66.6,19.12,65.9,16.75,0,1,1,,
2018,Florida State,Michigan,72.2,22.35,65.7,28.19,0,1,1,,
2018,Villanova,Texas Tech,70.1,38.13,68.3,28.06,1,1,1,,
2018,Kansas,Duke,70.2,30.43,70.6,35.34,1,1,1,,
2018,Loyola (IL),Michigan,65.9,16.75,65.7,28.19,0,1,1,,
2018,Villanova,Kansas,70.1,38.13,70.2,30.43,1,1,1,,
2018,Michigan,Villanova,65.7,28.19,70.1,38.13,0,1,1,,
2019,Duke,North Dakota State,73.2,37.38,66.8,-4.84,1,1,1,,
2019,Virginia Commonwealth,UCF,69,17.79,67.3,19.75,0,1,1,,
2019,Mississippi State,Liberty,68.6,23.46,65.4,9.88,0,1,1,,
2019,Virginia Tech,Saint Louis,64.4,29.26,67,8.21,1,1,1,,
2019,Maryland,Belmont,66.6,23.4,74.2,13.36,1,1,1,,
2019,Louisiana State,Yale,70.6,23.93,72.9,7.99,1,1,1,,
2019,Louisville,Minnesota,68.4,25.05,67.9,18.13,0,1,1,,
2019,Michigan State,Bradley,68.1,36.38,66.2,0.6,1,1,1,,
2019,Gonzaga,FDU,71.7,38.95,68.7,-7.7,1,1,1,,
2019,Syracuse,Baylor,67.2,20.65,66.5,19.99,0,1,1,,
2019,Marquette,Murray State,70.7,21.06,71.8,13.48,0,1,1,,
2019,Florida State,Vermont,69.5,25.95,66.5,8.51,1,1,1,,
2019,Buffalo,Arizona State,74.5,21.21,72.5,14.98,1,1,1,,
2019,Texas Tech,Northern Kentucky,67.6,34.14,70,7.2,1,1,1,,
2019,Nevada,Florida,70.7,22.61,64.7,22.8,0,1,1,,
2019,Michigan,Montana,65.4,32.83,68.6,2.75,1,1,1,,
2019,Virginia,Gardner-Webb,60.8,39.61,68.5,-2.92,1,1,1,,
2019,Mississippi,Oklahoma,69.2,18.16,69.3,21.53,0,1,1,,
2019,Wisconsin,Oregon,64.8,26.69,65.5,21.28,0,1,1,,
2019,Kansas State,UC Irvine,64.9,23.16,66.2,9.43,0,1,1,,
2019,Villanova,Saint Mary's (CA),65,21.09,64.3,19.67,1,1,1,,
2019,Purdue,Old Dominion,66.1,31.89,65.6,6.57,1,1,1,,
2019,Cincinnati,Iowa,65,21.76,70.2,20.82,0,1,1,,
2019,Tennessee,Colgate,69.4,30.99,67.8,2.34,1,1,1,,
2019,North Carolina,Iona,75.9,32.41,71.4,-5.88,1,1,1,,
2019,Utah State,Washington,70,17.39,67.4,17.7,0,1,1,,
2019,Auburn,New Mexico State,69.2,29.69,68.3,15.26,1,1,1,,
2019,Kansas,Northeastern,70.3,26.37,66.3,6.38,1,1,1,,
2019,Iowa State,Ohio State,68.2,26.57,66.7,20.11,0,1,1,,
2019,Houston,Georgia State,67.3,27.83,71.3,4.27,1,1,1,,
2019,Wofford,Seton Hall,68.5,21.24,70.1,15.28,1,1,1,,
2019,Kentucky,Abilene Christian,67.3,32.04,67.2,-1.53,1,1,1,,
2019,Duke,UCF,73.2,37.38,67.3,19.75,1,1,1,,
2019,Liberty,Virginia Tech,65.4,9.88,64.4,29.26,0,1,1,,
2019,Maryland,Louisiana State,66.6,23.4,70.6,23.93,0,1,1,,
2019,Minnesota,Michigan State,67.9,18.13,68.1,36.38,0,1,1,,
2019,Gonzaga,Baylor,71.7,38.95,66.5,19.99,1,1,1,,
2019,Murray State,Florida State,71.8,13.48,69.5,25.95,0,1,1,,
2019,Buffalo,Texas Tech,74.5,21.21,67.6,34.14,0,1,1,,
2019,Florida,Michigan,64.7,22.8,65.4,32.83,0,1,1,,
2019,Virginia,Oklahoma,60.8,39.61,69.3,21.53,1,1,1,,
2019,Oregon,UC Irvine,65.5,21.28,66.2,9.43,1,1,1,,
2019,Villanova,Purdue,65,21.09,66.1,31.89,0,1,1,,
2019,Iowa,Tennessee,70.2,20.82,69.4,30.99,0,1,1,,
2019,North Carolina,Washington,75.9,32.41,67.4,17.7,1,1,1,,
2019,Auburn,Kansas,69.2,29.69,70.3,26.37,1,1,1,,
2019,Ohio State,Houston,66.7,20.11,67.3,27.83,0,1,1,,
2019,Wofford,Kentucky,68.5,21.24,67.3,32.04,0,1,1,,
2019,Duke,Virginia Tech,73.2,37.38,64.4,29.26,1,1,1,,
2019,Louisiana State,Michigan State,70.6,23.93,68.1,36.38,0,1,1,,
2019,Gonzaga,Florida State,71.7,38.95,69.5,25.95,1,1,1,,
2019,Texas Tech,Michigan,67.6,34.14,65.4,32.83,1,1,1,,
2019,Virginia,Oregon,60.8,39.61,65.5,21.28,1,1,1,,
2019,Purdue,Tennessee,66.1,31.89,69.4,30.99,1,1,1,,
2019,North Carolina,Auburn,75.9,32.41,69.2,29.69,0,1,1,,
2019,Houston,Kentucky,67.3,27.83,67.3,32.04,0,1,1,,
2019,Duke,Michigan State,73.2,37.38,68.1,36.38,0,1,1,,
2019,Gonzaga,Texas Tech,71.7,38.95,67.6,34.14,0,1,1,,
2019,Virginia,Purdue,60.8,39.61,66.1,31.89,1,1,1,,
2019,Auburn,Kentucky,69.2,29.69,67.3,32.04,1,1,1,,
2019,Michigan State,Texas Tech,68.1,36.38,67.6,34.14,1,1,1,,
2019,Virginia,Auburn,60.8,39.61,69.2,29.69,1,1,1,,
2019,Texas Tech,Virginia,67.6,34.14,60.8,39.61,0,1,1,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,COVID - NO TOURNEY = NO STATS,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2020,,,,,,,,,,,
2021,Gonzaga,Norfolk State,74.6,37.56,72,-6.87,1,1,1,,
2021,Oklahoma,Missouri,69.2,19.46,70.4,17.98,1,1,1,,
2021,Creighton,UC Santa Barbara,69.6,23.34,67.2,13.22,1,1,1,,
2021,Virginia,Ohio,60.8,24.45,71.6,7.98,0,1,1,,
2021,Southern California,Drake,67.7,29.96,66.8,14.67,1,1,1,,
2021,Kansas,Eastern Washington,69.7,22.62,71.8,5.79,1,1,1,,
2021,Oregon,Virginia Commonwealth,65.8,23.64,67.9,17.1,1,1,1,,
2021,Iowa,Grand Canyon,71,30.77,68.2,9.22,1,1,1,,
2021,Michigan,Texas Southern,67.8,32.27,73.9,-7.45,1,1,1,,
2021,Louisiana State,St. Bonaventure,72.6,23.08,65.3,20.96,1,1,1,,
2021,Colorado,Georgetown,66.5,27.8,70.4,15.07,1,1,1,,
2021,Florida State,UNC Greensboro,70,25.49,70.5,5.96,1,1,1,,
2021,Brigham Young,UCLA,70.2,22.42,65.4,24.07,0,1,1,,
2021,Texas,Abilene Christian,69.5,22.61,72,9.3,0,1,1,,
2021,Connecticut,Maryland,66.2,26.06,65.9,20.98,0,1,1,,
2021,Alabama,Iona,74.7,27.71,69.9,-1,1,1,1,,
2021,Baylor,Hartford,69.6,35.68,67,-4.11,1,1,1,,
2021,North Carolina,Wisconsin,71.8,21.41,65.8,25.63,0,1,1,,
2021,Villanova,Winthrop,65.7,26.06,72.5,6.59,1,1,1,,
2021,Purdue,North Texas,66.5,23.33,65.2,11.7,0,1,1,,
2021,Texas Tech,Utah State,67.1,24.6,69.5,16.27,1,1,1,,
2021,Arkansas,Colgate,75.1,24.8,72.7,18.4,1,1,1,,
2021,Florida,Virginia Tech,70.6,19.99,66.4,18.76,1,1,1,,
2021,Ohio State,Oral Roberts,67.6,26.67,73.6,3.09,0,1,1,,
2021,Illinois,Drexel,71.2,32.83,66,-0.34,1,1,1,,
2021,Loyola (IL),Georgia Tech,63.8,24.47,67.9,19.55,1,1,1,,
2021,Tennessee,Oregon State,68.7,24.76,66.2,17.4,0,1,1,,
2021,Oklahoma State,Liberty,73,19.76,64.9,8.13,1,1,1,,
2021,San Diego State,Syracuse,66.9,21.37,69.3,19.77,0,1,1,,
2021,West Virginia,Morehead State,70.6,22.58,67.1,-0.68,1,1,1,,
2021,Clemson,Rutgers,64.9,18.88,68.3,20.67,0,1,1,,
2021,Houston,Cleveland State,66.1,32.81,67.6,-5.55,1,1,1,,
2021,Gonzaga,Oklahoma,74.6,37.56,69.2,19.46,1,1,1,,
2021,Creighton,Ohio,69.6,23.34,71.6,7.98,1,1,1,,
2021,Southern California,Kansas,67.7,29.96,69.7,22.62,1,1,1,,
2021,Oregon,Iowa,65.8,23.64,71,30.77,1,1,1,,
2021,Michigan,Louisiana State,67.8,32.27,72.6,23.08,1,1,1,,
2021,Colorado,Florida State,66.5,27.8,70,25.49,0,1,1,,
2021,UCLA,Abilene Christian,65.4,24.07,72,9.3,1,1,1,,
2021,Maryland,Alabama,65.9,20.98,74.7,27.71,0,1,1,,
2021,Baylor,Wisconsin,69.6,35.68,65.8,25.63,1,1,1,,
2021,Villanova,North Texas,65.7,26.06,65.2,11.7,1,1,1,,
2021,Texas Tech,Arkansas,67.1,24.6,75.1,24.8,0,1,1,,
2021,Florida,Oral Roberts,70.6,19.99,73.6,3.09,0,1,1,,
2021,Illinois,Loyola (IL),71.2,32.83,63.8,24.47,0,1,1,,
2021,Oregon State,Oklahoma State,66.2,17.4,73,19.76,1,1,1,,
2021,Syracuse,West Virginia,69.3,19.77,70.6,22.58,1,1,1,,
2021,Rutgers,Houston,68.3,20.67,66.1,32.81,0,1,1,,
2021,Gonzaga,Creighton,74.6,37.56,69.6,23.34,1,1,1,,
2021,Southern California,Oregon,67.7,29.96,65.8,23.64,1,1,1,,
2021,Michigan,Florida State,67.8,32.27,70,25.49,1,1,1,,
2021,UCLA,Alabama,65.4,24.07,74.7,27.71,1,1,1,,
2021,Baylor,Villanova,69.6,35.68,65.7,26.06,1,1,1,,
2021,Arkansas,Oral Roberts,75.1,24.8,73.6,3.09,1,1,1,,
2021,Loyola (IL),Oregon State,63.8,24.47,66.2,17.4,0,1,1,,
2021,Syracuse,Houston,69.3,19.77,66.1,32.81,1,1,1,,
2021,Gonzaga,Southern California,74.6,37.56,67.7,29.96,1,1,1,,
2021,Michigan,UCLA,67.8,32.27,65.4,24.07,0,1,1,,
2021,Baylor,Arkansas,69.6,35.68,75.1,24.8,1,1,1,,
2021,Oregon State,Houston,66.2,17.4,66.1,32.81,0,1,1,,
2021,Gonzaga,UCLA,74.6,37.56,65.4,24.07,1,1,1,,
2021,Baylor,Houston,69.6,35.68,66.1,32.81,1,1,1,,
2021,Gonzaga,Baylor,74.6,37.56,69.6,35.68,0,1,1,,
2022,Gonzaga,Georgia State,73.8,34.95,68.6,-0.57,1,1,1,,
2022,Boise State,Memphis,64.9,17.84,71,20.98,0,1,1,,
2022,Connecticut,New Mexico State,66.8,23.45,68.3,10.71,0,1,1,,
2022,Arkansas,Vermont,72,23.25,65.1,12.7,1,1,1,,
2022,Alabama,Notre Dame,73.2,21.15,65.9,17.94,0,1,1,,
2022,Texas Tech,Montana State,67.3,29.59,69.5,0.26,1,1,1,,
2022,Michigan State,Davidson,67.9,19.04,66.1,16.06,1,1,1,,
2022,Duke,Cal State Fullerton,68.2,28.52,67.2,0.55,1,1,1,,
2022,Baylor,Norfolk State,68.6,31.81,70.7,-4.64,1,1,1,,
2022,North Carolina,Marquette,70.3,22.77,71.6,16.74,1,1,1,,
2022,Saint Mary's (CA),Indiana,65.5,21.96,67.9,18.85,1,1,1,,
2022,UCLA,Akron,66.5,28.38,64.1,2.27,1,1,1,,
2022,Texas,Virginia Tech,64.5,26.18,63.6,21.99,1,1,1,,
2022,Purdue,Yale,66.7,28.09,70.3,0.63,1,1,1,,
2022,Murray State,San Francisco,68.3,15.22,70.9,20.14,1,1,1,,
2022,Kentucky,Saint Peter's,69.2,29.73,66.7,5.27,0,1,1,,
2022,Arizona,Wright State,72.7,31.32,70,-2.39,1,1,1,,
2022,Seton Hall,TCU,68.7,18.29,67.2,20.35,0,1,1,,
2022,Houston,UAB,65,33.83,70.4,15.63,1,1,1,,
2022,Illinois,Chattanooga,67.9,24.61,66,10.33,1,1,1,,
2022,Colorado State,Michigan,66,17.35,67.5,20.71,0,1,1,,
2022,Tennessee,Longwood,68.6,30.14,67.8,0.68,1,1,1,,
2022,Ohio State,Loyola (IL),65.1,21.22,65.7,20.63,1,1,1,,
2022,Villanova,Delaware,63.6,29.32,68,1.23,1,1,1,,
2022,Kansas,Texas Southern,69.5,31.97,69.7,-4.1,1,1,1,,
2022,San Diego State,Creighton,65.3,19.74,68.1,16.26,0,1,1,,
2022,Iowa,Richmond,70.3,26.82,67.4,11.16,0,1,1,,
2022,Providence,South Dakota State,65.9,19.26,71.7,9.67,1,1,1,,
2022,Louisiana State,Iowa State,70.4,24.74,67.2,18.58,0,1,1,,
2022,Wisconsin,Colgate,67,19.6,67.6,2.21,1,1,1,,
2022,Southern California,Miami (FL),67.5,18.01,67.8,16.45,0,1,1,,
2022,Auburn,Jacksonville State,71.3,27.28,67.5,0.97,1,1,1,,
2022,Gonzaga,Memphis,73.8,34.95,71,20.98,1,1,1,,
2022,New Mexico State,Arkansas,68.3,10.71,72,23.25,0,1,1,,
2022,Notre Dame,Texas Tech,65.9,17.94,67.3,29.59,0,1,1,,
2022,Michigan State,Duke,67.9,19.04,68.2,28.52,0,1,1,,
2022,Baylor,North Carolina,68.6,31.81,70.3,22.77,0,1,1,,
2022,Saint Mary's (CA),UCLA,65.5,21.96,66.5,28.38,0,1,1,,
2022,Texas,Purdue,64.5,26.18,66.7,28.09,0,1,1,,
2022,Murray State,Saint Peter's,68.3,15.22,66.7,5.27,0,1,1,,
2022,Arizona,TCU,72.7,31.32,67.2,20.35,1,1,1,,
2022,Houston,Illinois,65,33.83,67.9,24.61,1,1,1,,
2022,Michigan,Tennessee,67.5,20.71,68.6,30.14,1,1,1,,
2022,Ohio State,Villanova,65.1,21.22,63.6,29.32,0,1,1,,
2022,Kansas,Creighton,69.5,31.97,68.1,16.26,1,1,1,,
2022,Richmond,Providence,67.4,11.16,65.9,19.26,0,1,1,,
2022,Iowa State,Wisconsin,67.2,18.58,67,19.6,1,1,1,,
2022,Miami (FL),Auburn,67.8,16.45,71.3,27.28,1,1,1,,
2022,Gonzaga,Arkansas,73.8,34.95,72,23.25,0,1,1,,
2022,Texas Tech,Duke,67.3,29.59,68.2,28.52,0,1,1,,
2022,North Carolina,UCLA,70.3,22.77,66.5,28.38,1,1,1,,
2022,Purdue,Saint Peter's,66.7,28.09,66.7,5.27,0,1,1,,
2022,Arizona,Houston,72.7,31.32,65,33.83,0,1,1,,
2022,Michigan,Villanova,67.5,20.71,63.6,29.32,0,1,1,,
2022,Kansas,Providence,69.5,31.97,65.9,19.26,1,1,1,,
2022,Iowa State,Miami (FL),67.2,18.58,67.8,16.45,0,1,1,,
2022,Arkansas,Duke,72,23.25,68.2,28.52,0,1,1,,
2022,North Carolina,Saint Peter's,70.3,22.77,66.7,5.27,1,1,1,,
2022,Houston,Villanova,65,33.83,63.6,29.32,0,1,1,,
2022,Kansas,Miami (FL),69.5,31.97,67.8,16.45,1,1,1,,
2022,Duke,North Carolina,68.2,28.52,70.3,22.77,0,1,1,,
2022,Villanova,Kansas,63.6,29.32,69.5,31.97,0,1,1,,
2022,North Carolina,Kansas,70.3,22.77,69.5,31.97,0,1,1,,
2023,Alabama,Texas A&M-Corpus Christi,72.6,32.38,71.7,-0.325,1,1,1,,
